ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	MI	SC	MAG	NCCP	NCCS	NCTP	NCTS	RCC	RCT	CID
20082701	30.173106	-90.777116	2.589	1213.2	184.1	936.5	79.9	116.7	47.1	2020	8	27	13	0	53.28	-0.71	0	0	112	0	-9.0	0.023	1
21030301	30.170215	-90.782324	1.144	711.9	-136.4	-507.8	32.0	39.3	40.8	2021	3	3	19	29	40.68	-1.02	0	0	67	0	-9.0	0.023	1
21031703	30.164156	-90.783138	2.894	633.1	-808.1	1242.1	47.0	64.2	60.9	2021	3	17	22	14	4.32	-2.1	0	0	100	0	-9.0	0.022	1
21031801	30.173501	-90.78029	1.004	907.4	227.9	-647.8	32.3	35.0	41.8	2021	3	18	1	6	26.61	-1.9	0	0	70	0	-9.0	0.024	1
21032303	30.179006	-90.784473	0.585	504.7	838.1	-1066.0	43.7	41.9	31.6	2021	3	23	17	26	34.28	-0.17	0	0	36	0	-9.0	0.021	1
21041504	30.171409	-90.781689	1.184	773.2	-4.1	-468.7	52.8	61.8	33.9	2021	4	15	11	8	43.51	-1.45	0	0	46	0	-9.0	0.022	1
21050201	30.17969	-90.780306	1.877	906.3	913.9	224.4	67.1	66.9	72.2	2021	5	2	10	54	58.33	-2.36	0	0	31	0	-9.0	0.018	1
21050506	30.169535	-90.782739	3.159	671.4	-211.9	1507.1	43.5	46.2	50.8	2021	5	5	3	34	1.11	0.13	0	0	202	0	-9.0	0.026	1
21051015	30.175818	-90.783577	0.869	591.0	484.6	-783.5	37.5	40.9	45.0	2021	5	10	14	29	49.72	-1.68	0	0	35	0	-9.0	0.022	1
21051016	30.181205	-90.782528	2.419	692.0	1081.9	767.2	32.2	43.7	71.3	2021	5	10	14	30	42.41	-1.66	0	0	123	0	-9.0	0.025	1
21051017	30.159125	-90.778833	1.576	1048.2	-1365.8	-76.3	56.8	61.8	58.6	2021	5	10	14	32	17.69	-1.68	0	0	25	0	-9.0	0.027	1
21051701	30.170315	-90.784375	0.461	514.0	-125.3	-1190.7	41.2	42.6	36.0	2021	5	17	22	12	15.48	-2.7	0	0	31	0	-9.0	0.023	1
22041202	30.171047	-90.784652	0.197	487.7	-44.1	-1455.3	28.7	28.8	44.9	2022	4	12	23	27	2.42	-0.9	0	0	31	0	-9.0	0.019	1
22041408	30.179675	-90.780599	2.579	877.7	912.3	927.5	48.0	52.8	47.4	2022	4	14	5	10	19.13	-0.89	0	0	55	0	-9.0	0.017	1
22051310	30.168583	-90.781632	1.6	778.4	-317.4	-51.9	71.2	65.0	62.3	2022	5	13	22	37	51.16	-1.65	0	0	23	0	-9.0	0.021	1
22051314	30.169582	-90.780884	3.228	850.2	-206.6	1576.7	41.1	54.4	40.0	2022	5	13	23	12	43.04	-0.58	0	0	114	0	-9.0	0.023	1
22052109	30.176211	-90.783813	1.014	568.2	528.2	-637.9	29.4	37.8	39.9	2022	5	21	23	12	0.84	-2.26	0	0	60	0	-9.0	0.017	1
22052111	30.17439	-90.784619	0.533	490.9	326.3	-1119.6	35.3	36.4	45.9	2022	5	21	23	15	29.88	-2.81	0	0	23	0	-9.0	0.015	1
22052117	30.175653	-90.783708	1.559	578.5	466.3	-93.7	27.2	32.0	32.2	2022	5	21	23	57	31.04	-1.88	0	0	136	0	-9.0	0.021	1
22052118	30.172854	-90.783317	2.367	615.8	156.0	714.7	52.8	54.7	44.6	2022	5	21	23	58	20.2	-1.3	0	0	94	0	-9.0	0.024	1
22052202	30.170911	-90.781396	0.404	800.9	-59.3	-1247.8	30.8	40.3	43.9	2022	5	22	0	9	19.36	-2.32	0	0	33	0	-9.0	0.014	1
22052206	30.15427	-90.778939	1.905	1038.2	-1903.9	252.7	73.5	66.3	96.1	2022	5	22	0	16	30.76	-1.95	0	0	57	0	-9.0	0.024	1
22052208	30.175059	-90.782585	2.176	686.3	400.5	523.8	33.5	46.0	46.3	2022	5	22	0	16	43.24	-1.68	0	0	182	0	-9.0	0.025	1
22052210	30.170164	-90.778898	3.016	1041.6	-142.0	1364.2	69.1	71.6	79.4	2022	5	22	0	19	6.33	-1.64	0	0	96	0	-9.0	0.024	1
22052211	30.175983	-90.781445	1.556	796.3	503.0	-96.5	31.9	28.9	27.2	2022	5	22	0	25	26.05	-2.55	0	0	154	0	-9.0	0.021	1
22052212	30.175753	-90.781462	1.59	794.4	477.6	-62.1	34.0	35.6	32.0	2022	5	22	0	34	23.64	-2.52	0	0	136	0	-9.0	0.022	1
22052222	30.168471	-90.783732	2.008	576.4	-329.6	355.8	47.3	49.1	64.8	2022	5	22	0	49	0.92	-2.13	0	0	199	0	-9.0	0.026	1
22052224	30.172262	-90.780632	1.853	874.8	90.4	200.6	46.6	50.4	51.5	2022	5	22	0	57	18.95	-2.35	0	0	51	0	-9.0	0.022	1
22052227	30.179366	-90.779484	1.547	985.0	878.1	-105.1	48.7	48.3	41.1	2022	5	22	1	11	31.65	-2.58	0	0	84	0	-9.0	0.022	1
22052307	30.166162	-90.780404	3.643	896.9	-585.6	1991.3	93.7	119.8	54.1	2022	5	23	4	48	32.51	-0.72	0	0	93	0	-9.0	0.031	1
22052503	30.172174	-90.781364	2.568	804.4	80.6	916.3	40.2	50.1	38.1	2022	5	25	18	25	26.12	-1.1	0	0	177	0	-9.0	0.022	1
22052601	30.172974	-90.78278	1.629	667.9	169.4	-22.9	50.6	55.6	68.2	2022	5	26	12	10	45.56	-2.95	0	0	90	0	-9.0	0.025	1
22060301	30.173716	-90.782617	1.995	683.4	251.8	342.9	43.2	45.3	53.6	2022	6	3	2	52	31.32	-2.18	0	0	187	0	-9.0	0.025	1
22061608	30.171812	-90.783146	0.568	632.2	40.7	-1084.3	43.2	48.9	42.4	2022	6	16	22	49	28.7	-2.86	0	0	29	0	-9.0	0.026	1
22061609	30.18443	-90.782202	2.955	723.2	1439.3	1303.1	45.6	44.8	50.4	2022	6	16	22	53	35.72	-1.06	0	0	101	0	-9.0	0.027	1
22061611	30.177596	-90.78243	2.231	701.8	681.9	578.7	33.5	29.1	57.8	2022	6	16	23	27	47.32	-1.24	0	0	245	0	-9.0	0.022	1
22061614	30.16804	-90.779264	1.907	1006.7	-377.6	254.6	43.2	45.4	51.5	2022	6	16	23	44	19.08	-0.79	0	0	97	0	-9.0	0.027	1
22070511	30.158162	-90.77867	0.071	1063.9	-1472.5	-1581.6	34.1	44.5	61.6	2022	7	5	18	49	2.16	-2.14	0	0	22	0	-9.0	0.021	1
22071006	30.168699	-90.780916	2.315	847.2	-304.4	662.8	41.5	45.3	38.0	2022	7	10	22	8	37.52	-1.49	0	0	104	0	-9.0	0.024	1
22071204	30.175629	-90.782731	0.819	672.5	463.6	-833.3	33.4	39.2	62.6	2022	7	12	2	1	7.64	-2.44	0	0	26	0	-9.0	0.018	1
22071205	30.177214	-90.784285	0.931	522.5	639.4	-720.8	32.1	38.9	32.5	2022	7	12	2	4	1.92	-2.52	0	0	49	0	-9.0	0.021	1
