Yr;Mo;Dy;Hr:Mi;Lat;Lon;Z;Mag;A;Strike1;Dip1;Rake1;Strike2;Dip2;Rake2;Pazim;Pdip;Tazim;Tdip;Q;Type;Loc;Lit;;;;;;;;;
2021;3;13;14:28;30.1665;-90.7912;1.4;-1.7;1;135;88;130;227;40;2;13;31;79;34;1;;;;;;;;;;;;
2021;3;19;9:11;30.1712;-90.7915;1.66;-0.87;1;287;88;-178;197;88;-1;207;2;62;89;1;;;;;;;;;;;;
2021;3;23;17:26;30.1767;-90.7875;1.29;-0.36;1;349;31;-80;158;59;-95;53;75;72;75;1;;;;;;;;;;;;
2021;4;10;11:27;30.1702;-90.7887;1.74;-1.23;1;98;77;-164;4;75;-13;218;19;51;88;1;;;;;;;;;;;;
2021;5;2;10:54;30.1797;-90.7803;1.88;-2.36;1;271;68;-109;136;28;-49;207;61;16;21;1;;;;;;;;;;;;
2021;5;10;14:30;30.1812;-90.7825;2.42;-1.66;1;280;35;-145;160;70;-60;252;54;48;69;1;;;;;;;;;;;;
2021;5;10;22:16;30.1763;-90.7973;1.28;1.9;1;314;83;-114;209;25;-16;19;46;65;33;1;;;;;;;;;;;;
2021;5;10;22:17;30.1757;-90.797;1.12;1.71;1;308;75;-124;197;37;-24;1;47;64;22;1;;;;;;;;;;;;
2022;4;10;1:11;30.1685;-90.7893;2.54;-1.52;1;98;87;168;188;78;2;215;6;52;10;1;;;;;;;;;;;;
2022;4;13;0:49;30.1787;-90.7842;4.78;-0.66;1;306;85;-177;216;87;-4;188;4;81;88;1;;;;;;;;;;;;
2022;4;13;1:14;30.1703;-90.7928;1.67;-1.13;1;106;89;-159;16;69;0;206;14;59;76;1;;;;;;;;;;;;
2022;5;6;3:38;30.1788;-90.7903;1.41;-2.96;1;294;85;-115;196;26;-9;180;43;47;35;1;;;;;;;;;;;;
2022;5;21;22:46;30.174;-90.7907;1.39;-1.78;1;343;38;-87;159;51;-92;54;83;71;83;1;;;;;;;;;;;;
2022;5;21;23:2;30.1688;-90.7905;0.5;-2.41;1;328;57;-91;151;32;-87;52;77;59;12;1;;;;;;;;;;;;
2022;5;21;23:13;30.1647;-90.7935;0.21;-2.31;1;167;38;-92;350;51;-88;268;83;79;6;1;;;;;;;;;;;;
2022;5;21;23:57;30.1757;-90.7837;1.56;-1.88;1;291;85;172;21;82;4;203;2;66;81;1;;;;;;;;;;;;
2022;5;21;23:58;30.1728;-90.7833;2.37;-1.3;1;278;76;162;13;73;14;213;1;55;68;1;;;;;;;;;;;;
2022;5;22;0:13;30.1785;-90.7908;1.28;-2.11;1;341;12;-102;173;78;-87;86;56;81;56;1;;;;;;;;;;;;
2022;5;22;0:16;30.175;-90.7827;2.18;-1.68;1;266;88;133;358;43;2;217;29;31;57;1;;;;;;;;;;;;
2022;5;22;0:25;30.176;-90.7815;1.56;-2.55;1;302;79;-155;207;66;-12;192;24;73;8;1;;;;;;;;;;;;
2022;5;22;0:34;30.1758;-90.7815;1.59;-2.52;1;291;84;-169;200;79;-5;203;11;66;3;1;;;;;;;;;;;;
2022;5;23;4:51;30.1668;-90.7875;1.42;-2.14;1;110;89;-129;19;39;0;192;33;52;57;1;;;;;;;;;;;;
2022;5;26;12:10;30.173;-90.7828;1.63;-2.95;1;274;88;161;4;71;1;218;12;48;76;1;;;;;;;;;;;;
2022;6;3;2:52;30.1737;-90.7827;2.0;-2.18;1;148;49;-143;32;62;-47;186;51;266;82;1;;;;;;;;;;;;
2022;6;3;3:5;30.1653;-90.7988;1.2;-3.23;1;147;83;-105;35;17;-22;40;49;71;53;1;;;;;;;;;;;;
2022;6;3;3:31;30.1737;-90.7925;1.55;-2.12;1;165;48;-86;340;42;-93;246;86;73;86;1;;;;;;;;;;;;
2022;6;3;3:31;30.1695;-90.7922;1.3;-3.02;1;165;40;-91;346;49;-88;86;85;76;4;1;;;;;;;;;;;;
2022;6;16;23:27;30.1777;-90.7825;2.23;-1.24;1;142;63;-88;319;26;-92;54;71;51;71;1;;;;;;;;;;;;
2022;6;27;21:34;30.1808;-90.7882;1.59;-2.32;1;169;22;-88;347;67;-90;76;67;78;22;1;;;;;;;;;;;;
2022;7;5;21:8;30.1793;-90.7905;2.52;-1.41;1;131;88;142;222;52;1;3;24;80;26;1;;;;;;;;;;;;
