ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	MI	SC	MAG	NCCP	NCCS	NCTP	NCTS	RCC	RCT	CID
20020801	30.157115	-90.789982	0.595	-25.7	-1588.7	-1057.6	40.3	37.6	125.8	2020	2	8	0	33	8.3		0	0	38	0	-9.0	0.024	1
21030303	30.172807	-90.790641	1.928	-89.2	150.9	276.1	34.1	30.5	24.4	2021	3	3	23	25	0.36	-2.59	0	0	106	0	-9.0	0.019	1
21031301	30.166467	-90.79113	1.402	-136.0	-552.0	-250.6	58.1	61.6	39.2	2021	3	13	14	28	40.0	-1.7	0	0	73	0	-9.0	0.021	1
21031302	30.168282	-90.788875	0.553	80.5	-350.6	-1098.8	31.0	33.5	29.5	2021	3	13	18	26	28.9	-2.83	0	0	70	0	-9.0	0.023	1
21031701	30.167076	-90.79515	0.863	-523.9	-484.4	-789.3	43.1	44.5	53.5	2021	3	17	22	12	20.32	-2.91	0	0	55	0	-9.0	0.025	1
21031706	30.163436	-90.791895	0.454	-210.4	-888.0	-1198.3	25.7	28.9	27.7	2021	3	17	22	18	50.52	-3.75	0	0	51	0	-9.0	0.02	1
21031901	30.171092	-90.79152	1.664	-173.8	-39.3	12.2	39.4	38.6	36.3	2021	3	19	9	11	20.8	-0.87	0	0	115	0	-9.0	0.023	1
21032301	30.171806	-90.790332	0.303	-59.3	40.0	-1348.8	30.7	34.5	42.7	2021	3	23	17	7	37.96	-0.58	0	0	25	0	-9.0	0.02	1
21032305	30.15332	-90.79353	1.301	-367.8	-2009.2	-350.9	96.6	51.2	60.1	2021	3	23	18	55	3.72	0.62	0	0	36	0	-9.0	0.028	1
21041001	30.177358	-90.791423	1.473	-164.4	655.4	-179.4	79.1	64.3	78.7	2021	4	10	5	55	13.25	-1.86	0	0	9	0	-9.0	0.026	1
21041003	30.174235	-90.794393	0.226	-451.0	309.1	-1426.4	40.4	29.1	61.6	2021	4	10	8	51	19.5	0.06	0	0	14	0	-9.0	0.026	1
21041006	30.172685	-90.793856	0.125	-399.3	137.3	-1526.9	25.5	35.8	90.8	2021	4	10	10	1	4.58	0.42	0	0	14	0	-9.0	0.014	1
21041008	30.170127	-90.788729	1.735	94.7	-146.2	83.2	35.5	42.9	36.6	2021	4	10	11	27	32.58	-1.23	0	0	114	0	-9.0	0.025	1
