ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	MI	SC	MAG	NCCP	NCCS	NCTP	NCTS	RCC	residual	CID
20020801	30.157115	-90.789982	0.595	-25.7	-1588.7	-1057.6	40.3	37.6	125.8	2020	2	8	0	33	8.3		0	0	38	0	-9.0	0.024	1
20030103	30.144948	-90.791764	0.234	-197.9	-2937.3	-1418.4	66.5	38.0	35.6	2020	3	1	1	15	15.11		0	0	23	0	-9.0	0.018	1
20081309	30.174154	-90.772298	0.593	1677.4	300.1	-1057.8	25.5	46.1	25.9	2020	8	13	23	15	0.06	-0.98	0	0	68	0	-9.0	0.017	1
20082701	30.173106	-90.777116	2.589	1213.2	184.1	936.5	79.9	116.7	47.1	2020	8	27	13	0	53.28	-0.71	0	0	112	0	-9.0	0.023	1
21030301	30.170215	-90.782324	1.144	711.9	-136.4	-507.8	32.0	39.3	40.8	2021	3	3	19	29	40.68	-1.02	0	0	67	0	-9.0	0.023	1
21030303	30.172807	-90.790641	1.928	-89.2	150.9	276.1	34.1	30.5	24.4	2021	3	3	23	25	0.36	-2.59	0	0	106	0	-9.0	0.019	1
21031201	30.153153	-90.789014	6.847	67.2	-2027.8	5195.3	102.1	134.3	71.8	2021	3	12	4	22	6.47	-0.81	0	0	10	0	-9.0	0.017	1
21031301	30.166467	-90.79113	1.402	-136.0	-552.0	-250.6	58.1	61.6	39.2	2021	3	13	14	28	40.0	-1.7	0	0	73	0	-9.0	0.021	1
21031302	30.168282	-90.788875	0.553	80.5	-350.6	-1098.8	31.0	33.5	29.5	2021	3	13	18	26	28.9	-2.83	0	0	70	0	-9.0	0.023	1
21031701	30.167076	-90.79515	0.863	-523.9	-484.4	-789.3	43.1	44.5	53.5	2021	3	17	22	12	20.32	-2.91	0	0	55	0	-9.0	0.025	1
21031703	30.164156	-90.783138	2.894	633.1	-808.1	1242.1	47.0	64.2	60.9	2021	3	17	22	14	4.32	-2.1	0	0	100	0	-9.0	0.022	1
21031704	30.159851	-90.800724	0.26	-1060.6	-1285.4	-1392.2	40.6	45.6	99.8	2021	3	17	22	16	28.08	-2.62	0	0	24	0	-9.0	0.017	1
21031706	30.163436	-90.791895	0.454	-210.4	-888.0	-1198.3	25.7	28.9	27.7	2021	3	17	22	18	50.52	-3.75	0	0	51	0	-9.0	0.02	1
21031708	30.184851	-90.775814	1.216	1339.0	1486.0	-436.4	45.6	50.1	45.3	2021	3	17	22	21	45.14	-2.7	0	0	23	0	-9.0	0.014	1
21031801	30.173501	-90.78029	1.004	907.4	227.9	-647.8	32.3	35.0	41.8	2021	3	18	1	6	26.61	-1.9	0	0	70	0	-9.0	0.024	1
21031901	30.171092	-90.79152	1.664	-173.8	-39.3	12.2	39.4	38.6	36.3	2021	3	19	9	11	20.8	-0.87	0	0	115	0	-9.0	0.023	1
21032301	30.171806	-90.790332	0.303	-59.3	40.0	-1348.8	30.7	34.5	42.7	2021	3	23	17	7	37.96	-0.58	0	0	25	0	-9.0	0.02	1
21032302	30.176617	-90.787419	1.295	221.4	573.3	-356.7	25.4	31.9	27.9	2021	3	23	17	26	33.92	-0.36	0	0	109	0	-9.0	0.018	1
21032303	30.179006	-90.784473	0.585	504.7	838.1	-1066.0	43.7	41.9	31.6	2021	3	23	17	26	34.28	-0.17	0	0	36	0	-9.0	0.021	1
21032305	30.15332	-90.79353	1.301	-367.8	-2009.2	-350.9	96.6	51.2	60.1	2021	3	23	18	55	3.72	0.62	0	0	36	0	-9.0	0.028	1
21032401	30.159448	-90.785555	1.697	400.9	-1329.9	45.2	46.0	48.9	69.0	2021	3	24	5	7	54.42	-1.31	0	0	64	0	-9.0	0.023	1
21032505	30.202273	-90.769474	1.43	1949.2	3417.3	-222.0	96.6	69.9	76.4	2021	3	25	19	16	4.72	-0.52	0	0	21	0	-9.0	0.022	1
21041001	30.177358	-90.791423	1.473	-164.4	655.4	-179.4	79.1	64.3	78.7	2021	4	10	5	55	13.25	-1.86	0	0	9	0	-9.0	0.026	1
21041003	30.174235	-90.794393	0.226	-451.0	309.1	-1426.4	40.4	29.1	61.6	2021	4	10	8	51	19.5	0.06	0	0	14	0	-9.0	0.026	1
21041006	30.172685	-90.793856	0.125	-399.3	137.3	-1526.9	25.5	35.8	90.8	2021	4	10	10	1	4.58	0.42	0	0	14	0	-9.0	0.014	1
21041008	30.170127	-90.788729	1.735	94.7	-146.2	83.2	35.5	42.9	36.6	2021	4	10	11	27	32.58	-1.23	0	0	114	0	-9.0	0.025	1
21041304	30.158736	-90.803035	3.599	-1283.0	-1409.0	1947.0	63.3	54.2	44.2	2021	4	13	23	26	4.96	0.21	0	0	49	0	-9.0	0.021	1
